SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.003747457,0.004680334,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.591133,0.47527325,0.381798009,0.011573277,0.006829513,0.981737955,0.999843256,0.128139909
0.003794868,0.004739547,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5862069,0.47557837,0.381246787,0.011554921,0.006815291,0.981889125,0.999842518,0.128140355
0.003842279,0.004798761,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5812808,0.4758761,0.380694672,0.011536775,0.006801295,0.982039466,0.999841987,0.128140805
0.00388969,0.004857974,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5763547,0.4761666,0.380141445,0.011518615,0.006787238,0.982189491,0.999841296,0.128141094
0.003937101,0.004917188,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.57142854,0.4764502,0.379587615,0.011500304,0.006773227,0.982338708,0.999840604,0.128141541
0.003984512,0.004976401,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.56650245,0.47672707,0.37903298,0.011482174,0.006759275,0.982487505,0.999839832,0.12814199
0.004031924,0.005035615,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.56157637,0.4769976,0.37847758,0.011463863,0.006745324,0.982635672,0.999839152,0.128142429
0.004079334,0.005094828,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5566503,0.4772619,0.377921429,0.011445823,0.006731433,0.982783209,0.999838529,0.128142886
0.004126746,0.005154042,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.55172414,0.4775201,0.37736453,0.011427482,0.006717556,0.982930189,0.999837837,0.128143333
0.004174157,0.005213255,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.54679805,0.4777726,0.37680695,0.011409246,0.006703665,0.983076707,0.99983703,0.128143782
0.004221568,0.005272469,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5418719,0.47801948,0.376248684,0.01139098,0.006689983,0.983222564,0.999836454,0.128144231
0.004268979,0.005331682,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5369458,0.47826087,0.375689761,0.011372623,0.006676257,0.983368063,0.999835705,0.128144678
0.004316391,0.005390896,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.53201973,0.4784971,0.375130218,0.011354448,0.006662425,0.983512807,0.999834955,0.12814512
0.004363801,0.005450109,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5270936,0.47872818,0.374570045,0.011336303,0.006648894,0.983657298,0.999834333,0.128145602
0.004411213,0.005509323,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5221675,0.47895432,0.374009279,0.011317886,0.006635168,0.983801118,0.999833514,0.128145863
0.004458624,0.005568536,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.51724136,0.4791758,0.373447945,0.01129965,0.006621621,0.983944496,0.99983288,0.128145881
