SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.000860435,0.001076022,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.89162564,0.53173536,0.367844534,0.462098378,0.403217888,0.076739021,0.686850829,0.878773873
0.000908126,0.001135663,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8866995,0.538698,0.368500395,0.460933501,0.39616244,0.085963903,0.663459414,0.879278264
0.000955818,0.001195304,0.1,0.048414648,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8817734,0.54499894,0.368949229,0.458766646,0.396590066,0.101945016,0.677229069,0.879759889
0.001003509,0.001254945,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.87684727,0.5507281,0.36921918,0.460745028,0.403398133,0.076880903,0.664853379,0.880222091
0.001051201,0.001314586,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8719212,0.55595994,0.369333513,0.460141076,0.401186192,0.080711188,0.678453039,0.880667306
0.001098892,0.001374227,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8669951,0.56075656,0.369311661,0.460848069,0.4025334,0.090992459,0.682532937,0.881097728
0.001146584,0.001433868,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.86206895,0.56517017,0.369169954,0.457281299,0.402953074,0.090476436,0.683042924,0.881515082
0.001194276,0.001493509,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.85714287,0.56924474,0.368922186,0.458585341,0.404707119,0.098280755,0.682192945,0.881920921
0.001241967,0.00155315,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8522167,0.57301795,0.368580098,0.460589332,0.406187726,0.10200732,0.694772631,0.882316461
0.001289659,0.001612791,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.84729064,0.5765221,0.368153858,0.45964721,0.404303437,0.100529139,0.679558011,0.882702855
0.00133735,0.001672432,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.84236455,0.57978487,0.367652084,0.464282471,0.407176913,0.090913358,0.678283043,0.883080966
0.001385042,0.001732073,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8374384,0.5828305,0.36708235,0.458245436,0.407533795,0.108850475,0.693752656,0.883451702
0.001432733,0.001791714,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8325123,0.58567977,0.366451192,0.463292405,0.4062856,0.088593259,0.665363366,0.883815794
0.001480425,0.001851355,0.1,0.048414744,0.96635693,1,1,1,0,0.1,0.99999994,1,0,0.8275862,0.5883513,0.365764422,0.458885882,0.401278814,0.096460677,0.668474288,0.884173795
