SP,RP,TI,TT,UT,LMS,CML,MLR
2712338,2194062,0.1,-0.099952016,0.099959082,0,0,0.003126085
2712386,2194094,0.1,-0.099951936,0.10000008,0,0,0.00312603
2712434,2194142,0.1,-0.149912086,0.05003985,0,0,0.003125975
2712482,2194174,0.1,-0.199951446,0.04996064,0,0,0.003125919
2712530,2194222,0.1,-0.099912921,0.200038525,0,0,0.003125864
2712578,2194222,0.1,-1,-1,1,1,0.003126546
2712626,2194222,0.1,-1,-1,1,2,0.003126859
2712674,2194222,0.1,-1,-1,1,3,0.003127173
2712722,2194222,0.1,-1,-1,1,4,0.003127486
2712770,2194270,0.1,4.86E-05,0.599961498,0,0,0.003127062
2712818,2194318,0.1,4.83E-05,0.099999696,0,0,0.003127007
2712866,2194366,0.1,4.78E-05,0.099999545,0,0,0.003126951
2712914,2194380,0.1,4.74E-05,0.099999602,0,0,0.003126896
2712928,2194414,0.050102127,3.56E-05,0.05009028,0,0,0.00312688
2712962,2194428,0.000684,4.36E-05,0.000692005,0,0,0.003126841
2712976,2194462,0.000491161,3.56E-05,0.000483165,0,0,0.003126825
2713010,2194476,0.000584,4.36E-05,0.000592005,0,0,0.003126785
2713024,2194512,0.000551179,3.56E-05,0.000543183,0,0,0.003126769
2713060,2194560,0.000284,4.36E-05,0.000292002,0,0,0.003126728
2713108,2194608,0.047303533,4.73E-05,0.047307229,0,0,0.003126672
2713156,2194656,0.1,4.68E-05,0.099999462,0,0,0.003126617
2713204,2194704,0.1,4.73E-05,0.10000056,0,0,0.003126562
2713252,2194752,0.1,4.65E-05,0.099999146,0,0,0.003126506
2713300,2194800,0.1,4.70E-05,0.100000517,0,0,0.003126451
2713348,2194848,0.1,4.69E-05,0.099999916,0,0,0.003126396
2713396,2194896,0.1,4.68E-05,0.099999906,0,0,0.003126341
2713444,2194944,0.1,4.67E-05,0.099999874,0,0,0.003126285
2713492,2194992,0.1,4.62E-05,0.099999516,0,0,0.00312623
2713540,2195040,0.1,4.72E-05,0.100000977,0,0,0.003126175
2713588,2195088,0.1,4.70E-05,0.099999865,0,0,0.003126119
2713636,2195136,0.1,4.76E-05,0.100000546,0,0,0.003126064
2713684,2195168,0.1,4.76E-05,0.100000003,0,0,0.003126009
2713732,2195216,0.1,-0.099911434,4.10E-05,0,0,0.003125953
2713780,2195264,0.1,-0.099951973,0.099959461,0,0,0.003125898
2713828,2195296,0.1,-0.099951628,0.100000345,0,0,0.003125843
2713876,2195328,0.1,-0.149912194,0.050039434,0,0,0.003125788
2713924,2195360,0.1,8.73E-05,0.249999524,0,0,0.003125732
2713972,2195360,0.1,-1,-1,1,1,0.003126414
2714020,2195408,0.1,0.050086987,0.249999657,0,0,0.00312599
2714068,2195408,0.1,-1,-1,1,1,0.003126672
2714116,2195408,0.1,-1,-1,1,2,0.003126985
2714164,2195456,0.1,4.86E-05,0.249961614,0,0,0.003126561
2714212,2195488,0.1,4.83E-05,0.09999971,0,0,0.003126506
2714260,2195536,0.1,-0.049911839,0.050039849,0,0,0.003126451
2714308,2195584,0.1,-0.099952153,0.049959686,0,0,0.003126395
2714322,2195598,0.050101662,-0.050053794,0.100000022,0,0,0.003126379
2714356,2195632,0.000504,-0.00046871,0.050089083,0,0,0.00312634
2714370,2195646,0.000370568,-0.000327283,0.000511996,0,0,0.003126324
2714404,2195680,0.000124,-8.87E-05,0.000362566,0,0,0.003126285
2714418,2195694,0.000230562,-0.00018728,0.000131999,0,0,0.003126269
2714454,2195730,0.000164,-0.00012872,0.00022256,0,0,0.003126227
2714502,2195778,0.048505208,-0.048461929,0.000171999,0,0,0.003126172
2714550,2195826,0.1,-0.099952815,0.048509114,0,0,0.003126117
2714598,2195874,0.1,-0.099952853,0.099999963,0,0,0.003126061
2714646,2195922,0.1,-0.09995371,0.099999142,0,0,0.003126006
2714694,2195970,0.1,-0.099953567,0.100000143,0,0,0.003125951
2714742,2196018,0.1,-0.099953322,0.100000245,0,0,0.003125896
2714790,2196066,0.1,-0.099953132,0.10000019,0,0,0.00312584
2714838,2196114,0.1,-0.099952759,0.100000373,0,0,0.003125785
2714886,2196162,0.1,-0.099953301,0.099999457,0,0,0.00312573
2714934,2196210,0.1,-0.099952865,0.100000436,0,0,0.003125675
2714982,2196258,0.1,-0.099953538,0.099999327,0,0,0.003125619
2715030,2196306,0.1,-0.099952997,0.100000541,0,0,0.003125564
2715078,2196338,0.1,-0.099952802,0.100000195,0,0,0.003125509
2715126,2196386,0.1,-0.149911064,0.050041738,0,0,0.003125453
2715174,2196434,0.1,-0.199952445,0.049958619,0,0,0.003125398
2715222,2196482,0.1,-0.199951914,0.100000531,0,0,0.003125343
2715270,2196514,0.1,-0.199951649,0.100000265,0,0,0.003125288
2715318,2196546,0.1,-0.299912015,3.96E-05,0,0,0.003125232
2715366,2196578,0.1,-0.14991298,0.249999035,0,0,0.003125177
2715414,2196626,0.1,8.69E-05,0.249999866,0,0,0.003125122
2715462,2196626,0.1,-1,-1,1,1,0.003125803
2715510,2196626,0.1,-1,-1,1,2,0.003126116
2715558,2196674,0.1,0.050567211,0.350480325,0,0,0.003125693
2715606,2196706,0.050518782,0.04952954,0.049481112,0,0,0.003125638
2715654,2196754,0.049481218,8.82E-05,3.99E-05,0,0,0.003125582
2715702,2196802,0.1,4.81E-05,0.099959897,0,0,0.003125527
2715750,2196816,0.1,4.75E-05,0.099999349,0,0,0.003125472
2715764,2196850,0.050101661,3.53E-05,0.050089503,0,0,0.003125456
2715798,2196864,0.000424,4.33E-05,0.000431997,0,0,0.003125417
2715812,2196898,0.000350612,3.53E-05,0.000342609,0,0,0.0031254
