SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR
0.003842279,0.004798761,1,0.99975634,0.99684626,1,1,1,0,1,0,0,0,0.5812808,0.4758761
0.00388969,0.004857974,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5763547,0.4761666
0.003937101,0.004917188,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.57142854,0.4764502
0.003984512,0.004976401,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.56650245,0.47672707
0.004031924,0.005035615,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.56157637,0.4769976
0.004079334,0.005094828,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5566503,0.4772619
0.004126746,0.005154042,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.55172414,0.4775201
0.004174157,0.005213255,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.54679805,0.4777726
0.004221568,0.005272469,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5418719,0.47801948
0.004268979,0.005331682,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5369458,0.47826087
0.004316391,0.005390896,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.53201973,0.4784971
0.004363801,0.005450109,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5270936,0.47872818
0.004411213,0.005509323,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5221675,0.47895432
0.004458624,0.005568536,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.51724136,0.4791758
0.004506035,0.00562775,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5123153,0.47939265
0.004553446,0.005686963,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5073892,0.47960496
0.004600857,0.005746177,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5024631,0.47981298
0.004648269,0.00580539,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.49753696,0.48001683
0.00469568,0.005864603,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.49261087,0.48021656
0.004743091,0.005923817,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.48768473,0.48041236
0.004790502,0.00598303,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.48275864,0.48060435
0.004837913,0.006042244,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.4778325,0.48079252
0.004885324,0.006101457,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.4729064,0.48097718
0.004932736,0.006160671,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.46798033,0.48115826
0.004980146,0.006219884,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.46305418,0.481336
0.005027558,0.006279098,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.4581281,0.48151028
0.005074969,0.006338311,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.453202,0.48168147
0.00512238,0.006397525,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.44827586,0.4818495
0.005169791,0.006456738,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.44334978,0.48201442
0.005217203,0.006515952,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.43842363,0.48217636
0.005264613,0.006575165,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.43349755,0.48233545
0.005312025,0.006634379,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.42857146,0.48249167
0.005359436,0.006693592,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.42364532,0.48264527
0.005406847,0.006752806,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.41871923,0.48279607
0.005454258,0.006812019,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.4137931,0.48294437
0.005501669,0.006871233,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.408867,0.48309004
0.00554908,0.006930446,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.40394092,0.48323333
0.005596492,0.00698966,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.39901477,0.48337418
0.005643903,0.007048873,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3940887,0.48351264
0.005691314,0.007108087,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3891626,0.4836489
