st,p,sp,ti
5.138344152132,48.0,2690.0,0.10000000000000053
5.238344152132,48.0,2738.0,0.09999999999999964
5.338344152132,48.0,2786.0,0.09999999999999964
5.438344152132,48.0,2834.0,0.10000000000000053
5.538344152132,48.0,2882.0,0.09999999999999964
5.638344152132,48.0,2930.0,0.10000000000000053
5.738344152132,48.0,2978.0,0.09999999999999964
5.838344152132,48.0,3026.0,0.09999999999999964
5.938344152132,48.0,3074.0,0.10000000000000053
6.038344152132,48.0,3122.0,0.09999999999999964
6.138344152132,48.0,3170.0,0.10000000000000053
6.238344152132,48.0,3218.0,0.09999999999999964
6.338344152132,48.0,3266.0,0.09999999999999964
6.438344152132,48.0,3314.0,0.10000000000000053
6.538344152132,48.0,3362.0,0.09999999999999964
6.638344152132,48.0,3410.0,0.10000000000000053
6.738344152132,48.0,3458.0,0.09999999999999964
6.838344152132,48.0,3506.0,0.09999999999999964
6.938344152132,48.0,3554.0,0.10000000000000053
7.038344152132,48.0,3602.0,0.09999999999999964
7.138344152132,48.0,3650.0,0.10000000000000053
7.238344152132,48.0,3698.0,0.09999999999999964
7.338344152132,48.0,3746.0,0.09999999999999964
7.438344152132,48.0,3794.0,0.10000000000000053
7.538344152132,48.0,3842.0,0.09999999999999964
7.638344152132,48.0,3890.0,0.10000000000000053
7.738344152132,48.0,3938.0,0.09999999999999964
7.838344152132,48.0,3986.0,0.09999999999999964
7.938344152132,48.0,4034.0,0.10000000000000053
8.038344152132,48.0,4082.0,0.09999999999999964
8.138344152132,48.0,4130.0,0.09999999999999964
8.238344152132,48.0,4178.0,0.10000000000000142
8.338344152132,48.0,4226.0,0.09999999999999964
8.438344152132,48.0,4274.0,0.09999999999999964
8.538344152132,48.0,4322.0,0.09999999999999964
8.638344152132,48.0,4370.0,0.09999999999999964
8.738344152132,48.0,4418.0,0.10000000000000142
8.838344152132,48.0,4466.0,0.09999999999999964
8.938344152132,48.0,4514.0,0.09999999999999964
9.038344152132,48.0,4562.0,0.09999999999999964
9.138344152132,48.0,4610.0,0.09999999999999964
9.238344152132,48.0,4658.0,0.10000000000000142
9.338344152132,48.0,4706.0,0.09999999999999964
9.438344152132,48.0,4754.0,0.09999999999999964
9.538344152132,48.0,4802.0,0.09999999999999964
9.638344152132,48.0,4850.0,0.09999999999999964
9.738344152132,48.0,4898.0,0.10000000000000142
9.838344152132,48.0,4946.0,0.09999999999999964
9.938344152132,48.0,4994.0,0.09999999999999964
10.038344152132,48.0,5042.0,0.09999999999999964
10.138344152132,48.0,5090.0,0.09999999999999964
10.238344152132,48.0,5138.0,0.10000000000000142
10.338344152132,48.0,5186.0,0.09999999999999964
10.438344152132,48.0,5234.0,0.09999999999999964
