rt,p,rp,ut
13.638391416027,48.0,6770.0,0.10000001001299985
13.7383914261,48.0,6818.0,0.10000001007299986
13.838391436233,48.0,6866.0,0.10000001013299986
13.938391446424,48.0,6914.0,0.10000001019099969
14.038391456672,48.0,6962.0,0.1000000102480012
14.138391466975,48.0,7010.0,0.10000001030299899
14.238391477333,48.0,7058.0,0.10000001035800032
14.338391487744,48.0,7106.0,0.1000000104109997
14.438391498206,48.0,7154.0,0.10000001046200069
14.538391508719,48.0,7202.0,0.10000001051299989
14.638391519282,48.0,7250.0,0.10000001056300079
14.738391529892,48.0,7298.0,0.10000001060999963
14.83839154055,48.0,7346.0,0.10000001065800035
14.938391551254,48.0,7394.0,0.10000001070399911
15.038391562002,48.0,7442.0,0.10000001074799947
15.138391572795,48.0,7490.0,0.10000001079299992
15.238391577419,48.0,7538.0,0.10000000462400038
15.338391564306,48.0,7586.0,0.09999998688700096
15.438391551196,48.0,7634.0,0.09999998688999945
15.538391538092,48.0,7682.0,0.09999998689599998
15.638391524992,48.0,7730.0,0.09999998690000034
15.738391511896,48.0,7778.0,0.09999998690399892
15.838391498806,48.0,7826.0,0.09999998691000123
15.907473612321,14.0,7840.0,0.06908211351499993
15.907645612299,34.0,7874.0,0.00017199997799899336
15.90837078953,14.0,7888.0,0.0007251772310006288
15.909002789449,34.0,7922.0,0.0006319999189994263
15.909687966343,14.0,7936.0,0.0006851768940006053
15.909899966316,36.0,7972.0,0.00021199997300058726
15.93839148572,48.0,8020.0,0.028491519403999632
16.03839147264,48.0,8068.0,0.09999998692000034
16.138391459565,48.0,8116.0,0.09999998692499901
16.238391446495,48.0,8164.0,0.09999998693000123
16.338391433431,48.0,8212.0,0.09999998693599821
16.438391420373,48.0,8260.0,0.0999999869420023
16.53839140732,48.0,8308.0,0.09999998694699741
16.638391394274,48.0,8356.0,0.09999998695399981
16.738391381235,48.0,8404.0,0.09999998696100221
16.838391368201,48.0,8452.0,0.09999998696599732
16.938391355175,48.0,8500.0,0.09999998697400159
17.038391342156,48.0,8548.0,0.09999998698100043
17.138391329144,48.0,8596.0,0.09999998698799928
17.238391316139,48.0,8644.0,0.09999998699500168
17.338391303142,48.0,8692.0,0.09999998700299884
17.438391290153,48.0,8740.0,0.09999998701099955
17.538391277173,48.0,8788.0,0.09999998702000212
17.6383912642,48.0,8836.0,0.09999998702699742
17.738391251237,48.0,8884.0,0.09999998703700186
17.838391238283,48.0,8932.0,0.09999998704599733
17.938391225339,48.0,8980.0,0.09999998705600177
18.038391212404,48.0,9028.0,0.0999999870650008
18.13839119948,48.0,9076.0,0.099999987076
18.238391186566,48.0,9124.0,0.09999998708599733
18.338391173663,48.0,9172.0,0.09999998709700009
18.438391160772,48.0,9220.0,0.09999998710900115
18.538391147893,48.0,9268.0,0.09999998712100222
18.638391135026,48.0,9316.0,0.09999998713299973
18.738391122171,48.0,9364.0,0.09999998714499725
18.838391109331,48.0,9412.0,0.09999998716000036
18.938391096504,48.0,9460.0,0.09999998717299974
19.038391083691,48.0,9508.0,0.09999998718700098
19.138391070894,48.0,9556.0,0.09999998720299885
19.238391058112,48.0,9604.0,0.09999998721800196
19.338391045347,48.0,9652.0,0.09999998723499814
19.438391032599,48.0,9700.0,0.09999998725200143
19.538391019869,48.0,9748.0,0.09999998726999948
19.638391007157,48.0,9796.0,0.09999998728800108
19.738390994465,48.0,9844.0,0.0999999873079993
19.838390981794,48.0,9892.0,0.0999999873289994
19.938390969144,48.0,9940.0,0.09999998734999949
20.038390956516,48.0,9988.0,0.09999998737200144
20.138390943911,48.0,10036.0,0.09999998739499816
20.238390931331,48.0,10084.0,0.09999998742000216
20.338390918777,48.0,10132.0,0.09999998744600092
20.43839090625,48.0,10180.0,0.09999998747299799
20.538390893752,48.0,10228.0,0.09999998750199879
20.638390881283,48.0,10276.0,0.09999998753100314
20.738390868846,48.0,10324.0,0.09999998756299888
20.838390856442,48.0,10372.0,0.09999998759600004
20.938390844073,48.0,10420.0,0.09999998763100137
21.038390831741,48.0,10468.0,0.09999998766799933
21.138390819448,48.0,10516.0,0.09999998770699747
21.238390807195,48.0,10564.0,0.09999998774700103
21.338390794986,48.0,10612.0,0.09999998779100139
21.438390782823,48.0,10660.0,0.09999998783699837
21.538390770709,48.0,10708.0,0.09999998788600095
21.638390758646,48.0,10756.0,0.09999998793700016
21.738390746638,48.0,10804.0,0.09999998799199972
21.838390734688,48.0,10852.0,0.09999998805000132
21.9383907228,48.0,10900.0,0.09999998811199973
22.038390710977,48.0,10948.0,0.09999998817700018
22.138390699225,48.0,10996.0,0.0999999882479976
22.238390687547,48.0,11044.0,0.09999998832200063
22.338390675948,48.0,11092.0,0.09999998840099877
22.438390664434,48.0,11140.0,0.099999988486001
22.538390653011,48.0,11188.0,0.09999998857700021
22.638390641685,48.0,11236.0,0.09999998867399995
22.738390630464,48.0,11284.0,0.0999999887790004
22.838390619353,48.0,11332.0,0.09999998888899952
22.938390608363,48.0,11380.0,0.0999999890100014
23.0383905975,48.0,11428.0,0.09999998913700026
23.138390586776,48.0,11476.0,0.09999998927600018
23.238390576201,48.0,11524.0,0.09999998942499744
23.338390565786,48.0,11572.0,0.099999989585001
23.438390555543,48.0,11620.0,0.09999998975699853
23.538390545486,48.0,11668.0,0.09999998994300086
23.638390535629,48.0,11716.0,0.09999999014300087
